reqSkillId,requirement_reqId,skill_skillId,requiredProficiency
e50e8400-e29b-41d4-a716-446655440001,d50e8400-e29b-41d4-a716-446655440001,850e8400-e29b-41d4-a716-446655440007,Advanced
e50e8400-e29b-41d4-a716-446655440002,d50e8400-e29b-41d4-a716-446655440001,850e8400-e29b-41d4-a716-446655440009,Advanced
e50e8400-e29b-41d4-a716-446655440003,d50e8400-e29b-41d4-a716-446655440001,850e8400-e29b-41d4-a716-446655440005,Advanced
e50e8400-e29b-41d4-a716-446655440004,d50e8400-e29b-41d4-a716-446655440002,850e8400-e29b-41d4-a716-446655440001,Advanced
e50e8400-e29b-41d4-a716-446655440005,d50e8400-e29b-41d4-a716-446655440002,850e8400-e29b-41d4-a716-446655440003,Intermediate
e50e8400-e29b-41d4-a716-446655440006,d50e8400-e29b-41d4-a716-446655440002,850e8400-e29b-41d4-a716-446655440017,Intermediate
e50e8400-e29b-41d4-a716-446655440007,d50e8400-e29b-41d4-a716-446655440003,850e8400-e29b-41d4-a716-446655440003,Advanced
e50e8400-e29b-41d4-a716-446655440008,d50e8400-e29b-41d4-a716-446655440003,850e8400-e29b-41d4-a716-446655440020,Advanced
e50e8400-e29b-41d4-a716-446655440009,d50e8400-e29b-41d4-a716-446655440003,850e8400-e29b-41d4-a716-446655440017,Intermediate
e50e8400-e29b-41d4-a716-446655440010,d50e8400-e29b-41d4-a716-446655440004,850e8400-e29b-41d4-a716-446655440017,Beginner
e50e8400-e29b-41d4-a716-446655440011,d50e8400-e29b-41d4-a716-446655440005,850e8400-e29b-41d4-a716-446655440012,Advanced
e50e8400-e29b-41d4-a716-446655440012,d50e8400-e29b-41d4-a716-446655440005,850e8400-e29b-41d4-a716-446655440013,Advanced
e50e8400-e29b-41d4-a716-446655440013,d50e8400-e29b-41d4-a716-446655440006,850e8400-e29b-41d4-a716-446655440027,Advanced
e50e8400-e29b-41d4-a716-446655440014,d50e8400-e29b-41d4-a716-446655440006,850e8400-e29b-41d4-a716-446655440015,Intermediate
e50e8400-e29b-41d4-a716-446655440015,d50e8400-e29b-41d4-a716-446655440007,850e8400-e29b-41d4-a716-446655440009,Intermediate
e50e8400-e29b-41d4-a716-446655440016,d50e8400-e29b-41d4-a716-446655440007,850e8400-e29b-41d4-a716-446655440010,Intermediate
e50e8400-e29b-41d4-a716-446655440017,d50e8400-e29b-41d4-a716-446655440008,850e8400-e29b-41d4-a716-446655440011,Advanced
e50e8400-e29b-41d4-a716-446655440018,d50e8400-e29b-41d4-a716-446655440008,850e8400-e29b-41d4-a716-446655440005,Advanced
